case_index,case_id,base_seed,experiment,function_type,function_name,config_index,function_formula,shape_params,snr,snr_label,sigma_epsilon,noise_structure,x_distribution,n,R,direction,monotonicity,linearity,linearity_error,convexity,saturation,late_slope_early_slope_ratio,tp_count,tp_types,tp_pattern,tp_trend,s_curve,threshold,strength,high_spread,high_spread_ratio,changing_spread,density,clusters
15,main_F00_cfg01_snr1p2_constant_uniform,15000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",1.2,1p2,0.9128709291752769,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.9128709291752769,False,Even,False
16,main_F00_cfg01_snr1p5_constant_uniform,16000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",1.5,1p5,0.816496580927726,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.816496580927726,False,Even,False
17,main_F00_cfg01_snr1p8_constant_uniform,17000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",1.8,1p8,0.7453559924999299,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.7453559924999299,False,Even,False
18,main_F00_cfg01_snr2_constant_uniform,18000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",2.0,2,0.7071067811865476,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.7071067811865476,False,Even,False
19,main_F00_cfg01_snr2p5_constant_uniform,19000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",2.5,2p5,0.6324555320336759,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.6324555320336759,False,Even,False
20,main_F00_cfg01_snr3_constant_uniform,20000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",3.0,3,0.5773502691896257,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.5773502691896257,False,Even,False
21,main_F00_cfg01_snr3p5_constant_uniform,21000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",3.5,3p5,0.5345224838248488,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.5345224838248488,False,Even,False
22,main_F00_cfg01_snr4_constant_uniform,22000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",4.0,4,0.5,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.5,False,Even,False
23,main_F00_cfg01_snr5_constant_uniform,23000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",5.0,5,0.4472135954999579,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.4472135954999579,False,Even,False
24,main_F00_cfg01_snr6_constant_uniform,24000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",6.0,6,0.408248290463863,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.408248290463863,False,Even,False
25,main_F00_cfg01_snr7_constant_uniform,25000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",7.0,7,0.3779644730092272,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.3779644730092272,False,Even,False
26,main_F00_cfg01_snr8_constant_uniform,26000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",8.0,8,0.3535533905932738,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.3535533905932738,False,Even,False
27,main_F00_cfg01_snr10_constant_uniform,27000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",10.0,10,0.31622776601683794,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.31622776601683794,False,Even,False
28,main_F00_cfg01_snr12_constant_uniform,28000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",12.0,12,0.28867513459481287,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.28867513459481287,False,Even,False
29,main_F00_cfg01_snr15_constant_uniform,29000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",15.0,15,0.2581988897471611,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.2581988897471611,False,Even,False
30,main_F00_cfg01_snr18_constant_uniform,30000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",18.0,18,0.23570226039551584,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.23570226039551584,False,Even,False
31,main_F00_cfg01_snr20_constant_uniform,31000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",20.0,20,0.22360679774997896,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.22360679774997896,False,Even,False
32,main_F00_cfg01_snr25_constant_uniform,32000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",25.0,25,0.2,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.2,False,Even,False
33,main_F00_cfg01_snr30_constant_uniform,33000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",30.0,30,0.18257418583505536,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.18257418583505536,False,Even,False
34,main_F00_cfg01_snr35_constant_uniform,34000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",35.0,35,0.1690308509457033,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.1690308509457033,False,Even,False
35,main_F00_cfg01_snr40_constant_uniform,35000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",40.0,40,0.15811388300841897,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.15811388300841897,False,Even,False
36,main_F00_cfg01_snr50_constant_uniform,36000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",50.0,50,0.1414213562373095,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.1414213562373095,False,Even,False
37,main_F00_cfg01_snr60_constant_uniform,37000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",60.0,60,0.12909944487358055,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.12909944487358055,False,Even,False
38,main_F00_cfg01_snr80_constant_uniform,38000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",80.0,80,0.11180339887498948,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.11180339887498948,False,Even,False
39,main_F00_cfg01_snr100_constant_uniform,39000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",100.0,100,0.1,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.1,False,Even,False
40,main_F00_cfg01_snr130_constant_uniform,40000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",130.0,130,0.08770580193070292,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.08770580193070292,False,Even,False
41,main_F00_cfg01_snr170_constant_uniform,41000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",170.0,170,0.07669649888473705,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.07669649888473705,False,Even,False
42,main_F00_cfg01_snr200_constant_uniform,42000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",200.0,200,0.07071067811865475,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.07071067811865475,False,Even,False
43,main_F00_cfg01_snr300_constant_uniform,43000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",300.0,300,0.05773502691896258,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.05773502691896258,False,Even,False
44,main_F00_cfg01_snr500_constant_uniform,44000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",500.0,500,0.044721359549995794,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.044721359549995794,False,Even,False
45,main_F00_cfg01_snr700_constant_uniform,45000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",700.0,700,0.03779644730092272,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.03779644730092272,False,Even,False
46,main_F00_cfg01_snr1000_constant_uniform,46000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",1000.0,1000,0.03162277660168379,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.03162277660168379,False,Even,False
47,main_F00_cfg01_snr2000_constant_uniform,47000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",2000.0,2000,0.022360679774997897,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.022360679774997897,False,Even,False
48,main_F00_cfg01_snr5000_constant_uniform,48000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",5000.0,5000,0.01414213562373095,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.01414213562373095,False,Even,False
49,main_F00_cfg01_snr10000_constant_uniform,49000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",10000.0,10000,0.01,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.01,False,Even,False
50,main_F00_cfg01_snrinf_constant_uniform,50000,main,F00,Random,1,f(x) = constant,"{""constant"": 0.05, ""null_variance_reference"": 1.0}",inf,inf,0.0,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.0,False,Even,False
51,main_F00_cfg02_snr0p05_constant_uniform,51000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.05,0p05,4.47213595499958,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,4.47213595499958,False,Even,False
52,main_F00_cfg02_snr0p08_constant_uniform,52000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.08,0p08,3.5355339059327378,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,3.5355339059327378,False,Even,False
53,main_F00_cfg02_snr0p1_constant_uniform,53000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.1,0p1,3.1622776601683795,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,3.1622776601683795,False,Even,False
54,main_F00_cfg02_snr0p13_constant_uniform,54000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.13,0p13,2.7735009811261455,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,2.7735009811261455,False,Even,False
55,main_F00_cfg02_snr0p17_constant_uniform,55000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.17,0p17,2.4253562503633295,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,2.4253562503633295,False,Even,False
56,main_F00_cfg02_snr0p2_constant_uniform,56000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.2,0p2,2.23606797749979,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,2.23606797749979,False,Even,False
57,main_F00_cfg02_snr0p25_constant_uniform,57000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.25,0p25,2.0,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Very Weak,True,2.0,False,Even,False
58,main_F00_cfg02_snr0p3_constant_uniform,58000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.3,0p3,1.8257418583505538,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.8257418583505538,False,Even,False
59,main_F00_cfg02_snr0p4_constant_uniform,59000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.4,0p4,1.5811388300841898,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.5811388300841898,False,Even,False
60,main_F00_cfg02_snr0p5_constant_uniform,60000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.5,0p5,1.4142135623730951,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.4142135623730951,False,Even,False
61,main_F00_cfg02_snr0p6_constant_uniform,61000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.6,0p6,1.2909944487358056,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.2909944487358056,False,Even,False
62,main_F00_cfg02_snr0p7_constant_uniform,62000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.7,0p7,1.1952286093343936,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.1952286093343936,False,Even,False
63,main_F00_cfg02_snr0p8_constant_uniform,63000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",0.8,0p8,1.118033988749895,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.118033988749895,False,Even,False
64,main_F00_cfg02_snr1_constant_uniform,64000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",1.0,1,1.0,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Weak,True,1.0,False,Even,False
65,main_F00_cfg02_snr1p2_constant_uniform,65000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",1.2,1p2,0.9128709291752769,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.9128709291752769,False,Even,False
66,main_F00_cfg02_snr1p5_constant_uniform,66000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",1.5,1p5,0.816496580927726,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.816496580927726,False,Even,False
67,main_F00_cfg02_snr1p8_constant_uniform,67000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",1.8,1p8,0.7453559924999299,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.7453559924999299,False,Even,False
68,main_F00_cfg02_snr2_constant_uniform,68000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",2.0,2,0.7071067811865476,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.7071067811865476,False,Even,False
69,main_F00_cfg02_snr2p5_constant_uniform,69000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",2.5,2p5,0.6324555320336759,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.6324555320336759,False,Even,False
70,main_F00_cfg02_snr3_constant_uniform,70000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",3.0,3,0.5773502691896257,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.5773502691896257,False,Even,False
71,main_F00_cfg02_snr3p5_constant_uniform,71000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",3.5,3p5,0.5345224838248488,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.5345224838248488,False,Even,False
72,main_F00_cfg02_snr4_constant_uniform,72000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",4.0,4,0.5,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.5,False,Even,False
73,main_F00_cfg02_snr5_constant_uniform,73000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",5.0,5,0.4472135954999579,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.4472135954999579,False,Even,False
74,main_F00_cfg02_snr6_constant_uniform,74000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",6.0,6,0.408248290463863,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.408248290463863,False,Even,False
75,main_F00_cfg02_snr7_constant_uniform,75000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",7.0,7,0.3779644730092272,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.3779644730092272,False,Even,False
76,main_F00_cfg02_snr8_constant_uniform,76000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",8.0,8,0.3535533905932738,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.3535533905932738,False,Even,False
77,main_F00_cfg02_snr10_constant_uniform,77000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",10.0,10,0.31622776601683794,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Medium,True,0.31622776601683794,False,Even,False
78,main_F00_cfg02_snr12_constant_uniform,78000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",12.0,12,0.28867513459481287,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.28867513459481287,False,Even,False
79,main_F00_cfg02_snr15_constant_uniform,79000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",15.0,15,0.2581988897471611,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.2581988897471611,False,Even,False
80,main_F00_cfg02_snr18_constant_uniform,80000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",18.0,18,0.23570226039551584,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.23570226039551584,False,Even,False
81,main_F00_cfg02_snr20_constant_uniform,81000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",20.0,20,0.22360679774997896,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.22360679774997896,False,Even,False
82,main_F00_cfg02_snr25_constant_uniform,82000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",25.0,25,0.2,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.2,False,Even,False
83,main_F00_cfg02_snr30_constant_uniform,83000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",30.0,30,0.18257418583505536,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.18257418583505536,False,Even,False
84,main_F00_cfg02_snr35_constant_uniform,84000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",35.0,35,0.1690308509457033,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.1690308509457033,False,Even,False
85,main_F00_cfg02_snr40_constant_uniform,85000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",40.0,40,0.15811388300841897,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.15811388300841897,False,Even,False
86,main_F00_cfg02_snr50_constant_uniform,86000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",50.0,50,0.1414213562373095,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.1414213562373095,False,Even,False
87,main_F00_cfg02_snr60_constant_uniform,87000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",60.0,60,0.12909944487358055,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.12909944487358055,False,Even,False
88,main_F00_cfg02_snr80_constant_uniform,88000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",80.0,80,0.11180339887498948,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.11180339887498948,False,Even,False
89,main_F00_cfg02_snr100_constant_uniform,89000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",100.0,100,0.1,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.1,False,Even,False
90,main_F00_cfg02_snr130_constant_uniform,90000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",130.0,130,0.08770580193070292,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.08770580193070292,False,Even,False
91,main_F00_cfg02_snr170_constant_uniform,91000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",170.0,170,0.07669649888473705,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.07669649888473705,False,Even,False
92,main_F00_cfg02_snr200_constant_uniform,92000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",200.0,200,0.07071067811865475,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.07071067811865475,False,Even,False
93,main_F00_cfg02_snr300_constant_uniform,93000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",300.0,300,0.05773502691896258,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.05773502691896258,False,Even,False
94,main_F00_cfg02_snr500_constant_uniform,94000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",500.0,500,0.044721359549995794,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.044721359549995794,False,Even,False
95,main_F00_cfg02_snr700_constant_uniform,95000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",700.0,700,0.03779644730092272,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.03779644730092272,False,Even,False
96,main_F00_cfg02_snr1000_constant_uniform,96000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",1000.0,1000,0.03162277660168379,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.03162277660168379,False,Even,False
97,main_F00_cfg02_snr2000_constant_uniform,97000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",2000.0,2000,0.022360679774997897,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.022360679774997897,False,Even,False
98,main_F00_cfg02_snr5000_constant_uniform,98000,main,F00,Random,2,f(x) = constant,"{""constant"": 0.097368, ""null_variance_reference"": 1.0}",5000.0,5000,0.01414213562373095,constant,uniform,500,100,,,,,,No,,0,,,,False,False,Strong,False,0.01414213562373095,False,Even,False
